*************************************** Sortowanie babelkowe ***************************************

        N         1         2         3         4         5       œredna 
 33554432: 1.961471  1.950283  1.918570  1.918082  1.939570      1.937595
 67108864: 4.068257  4.073369  4.075911  4.112398  4.163156      4.098618

********************** Sortowanie przez proste wstawianie - dane posortowane ***********************

        N         1         2         3         4         5       œredna 
     1024: 0.000004  0.000004  0.000004  0.000011  0.000004      0.000005
     2048: 0.000007  0.000008  0.000008  0.000008  0.000007      0.000008
     4096: 0.000014  0.000014  0.000027  0.000015  0.000014      0.000017
     8192: 0.000029  0.000030  0.000030  0.000030  0.000032      0.000030
    16384: 0.000063  0.000093  0.000340  0.000061  0.000060      0.000123
    32768: 0.000121  0.000130  0.000121  0.000122  0.000121      0.000123
    65536: 0.000242  0.000256  0.000241  0.000242  0.000243      0.000245
   131072: 0.000484  0.000483  0.000625  0.000482  0.000452      0.000505
   262144: 0.000970  0.000906  0.000903  0.000961  0.001348      0.001017
   524288: 0.002577  0.001856  0.002208  0.003269  0.001841      0.002350
  1048576: 0.004016  0.003731  0.003804  0.003972  0.004548      0.004014
  2097152: 0.009035  0.007620  0.008459  0.008106  0.008695      0.008383
  4194304: 0.016483  0.016837  0.016605  0.017466  0.017511      0.016981
  8388608: 0.036531  0.038315  0.033914  0.033208  0.032553      0.034904

********************** Sortowanie przez proste wybieranie - dane posortowane ***********************

        N         1         2         3         4         5       œredna 
     1024: 0.001419  0.001573  0.001430  0.001443  0.001447      0.001462
     2048: 0.005815  0.005753  0.005881  0.006281  0.006218      0.005989
     4096: 0.031327  0.028147  0.025050  0.025637  0.026770      0.027386
     8192: 0.120960  0.101166  0.103533  0.107261  0.112440      0.109072
    16384: 0.396144  0.374061  0.388413  0.391551  0.386855      0.387405
    32768: 1.547696  1.541767  1.551284  1.545772  1.548792      1.547062
    65536: 6.205874  6.204721  6.175558  6.200487  6.196363      6.196601
   131072: 24.744818  24.749125  25.190238  24.792373  24.824642     24.860239
   262144: 99.421914  103.128368  101.410585  101.697021  99.592059    101.049989

 ***************************** Sortowanie babelkowe - dane posortowane ******************************

        N         1         2         3         4         5       œredna 
     1024: 0.003513  0.003239  0.003156  0.003891  0.003095      0.003379
     2048: 0.013387  0.013284  0.012556  0.016361  0.016244      0.014366
     4096: 0.076854  0.055237  0.057308  0.059687  0.056178      0.061053
     8192: 0.222917  0.238642  0.208481  0.209500  0.211663      0.218241
    16384: 0.826851  0.831611  0.823046  0.814683  0.817713      0.822781
    32768: 3.267022  3.268205  3.293163  3.297545  3.291967      3.283581
    65536: 13.284907  13.178601  13.186008  13.186421  13.161742     13.199536
   131072: 52.764834  55.112272  56.652485  55.915856  54.518446     54.992779

****************************** Sortowanie kopcowe - dane posortowane *******************************

        N         1         2         3         4         5       œredna 
     1024: 0.000712  0.000719  0.000550  0.000559  0.000550      0.000618
     2048: 0.000965  0.000960  0.000805  0.000903  0.000837      0.000894
